Field,Forename,Number of Records
Bride Forename,nil,
Bride Forename,empty,78
Bride Forename,"Abby",1
Bride Forename,"Agnes Stanbridge",1
Bride Forename,"Aphrodose",1
Bride Forename,"Barbary",1
Bride Forename,"Beata",1
Bride Forename,"Cisley",2
Bride Forename,"Eddey",1
Bride Forename,"Em",1
Bride Forename,"Emma",1
Bride Forename,"Joys",1
Bride Forename,"Juliane",1
Bride Forename,"Mathew",1
Bride Forename,"Milldread",1
Bride Forename,"Miss" Grace,1
Bride Forename,"Phaanna",1
Bride Forename,"Philip",3
Bride Forename,"Phillip",3
Bride Forename,"Salley",1
Bride Forename,"Sisley",1
Bride Forename,"Sith",1
Bride Forename,"Thomalin",1
Bride Forename,"Ursley",2
Bride Forename,#NAME?,1
Bride Forename,#VALUE!,1
Bride Forename,& Ann Dryden,1
Bride Forename,& Catherine,1
Bride Forename,& Mary,1
Bride Forename,& Mrs. Marie,1
Bride Forename,& his maid Margaret,1
Bride Forename,' Eel',1
Bride Forename,' Ester ',1
Bride Forename,' Gemima',1
Bride Forename,' Lewis',1
Bride Forename,' Percy',1
Bride Forename,'-,1
Bride Forename,'Abigal',1
Bride Forename,'Cicily',1
Bride Forename,'Cl__',1
Bride Forename,'Dianah',1
Bride Forename,'El',1
Bride Forename,'Frisewith',1
Bride Forename,'Gooddith',1
Bride Forename,'Goodith',1
Bride Forename,'Grace,1
Bride Forename,'Hannah,1
Bride Forename,'Idee',1
Bride Forename,'Jane,1
Bride Forename,'Lydda',2
Bride Forename,'Mable',1
Bride Forename,'Mathew',1
Bride Forename,'Philipe',1
Bride Forename,'William',1
Bride Forename,( ? Elizabeth ),1
Bride Forename,( ? Frances ),1
Bride Forename,( Arabella ? ),1
Bride Forename,( Cate)rine,1
Bride Forename,( Chri)stian,1
Bride Forename,( Lady) Helen,1
Bride Forename,( Mis),1
Bride Forename,( Mris),1
Bride Forename,( Mrs),1
Bride Forename,( Olve ? ),1
Bride Forename,(*)dgeran,1
Bride Forename,(...),1
Bride Forename,(....),25
Bride Forename,(....) Mrs,1
Bride Forename,(........),1
Bride Forename,(?????),3
